Metadata_broad_sample,Metadata_pert_iname,Metadata_pert_iname2,Metadata_moa,Metadata_target
BRD-K91263825-001-02-8,nortriptyline,nortriptyline,tricyclic antidepressant,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR1A, HTR2A, HTR2C, HTR6, KCNJ10, PGRMC1, SIGMAR1, SLC6A2, SLC6A4"
BRD-K91370081-001-04-6,anisomycin,anisomycin,DNA synthesis inhibitor,"NHP2L1, RPL10L, RPL11, RPL13A, RPL15, RPL19, RPL23, RPL23A, RPL26L1, RPL3, RPL37, RPL8, RSL24D1"
BRD-K92000912-001-06-8,AM-251,AM251,cannabinoid receptor antagonist,"CNR1, GPR18, GPR55"
BRD-K92015269-001-01-6,GBR-12783,GBR 12783,dopamine uptake inhibitor,
BRD-K92049597-001-04-2,triamterene,triamterene,sodium channel blocker,"SCNN1A, SCNN1B, SCNN1D, SCNN1G"
BRD-K92093830-003-05-0,doxorubicin,doxorubicin,topoisomerase inhibitor,TOP2A
BRD-K92723993-066-02-9,imatinib,BRD-K92723993,PDGFR tyrosine kinase receptor inhibitor|Bcr-Abl kinase inhibitor|KIT inhibitor|Abl kinase inhibitor|apoptosis stimulant|breast cancer resistance protein inhibitor|colony stimulating factor receptor inhibitor,"ABL1, KIT, PDGFRA, BCR, CSF1R, PDGFRB, ABCG2, CYP2C19, CYP2C8, CYP3A5, DDR1, NTRK1, RET"
BRD-K92830582-003-04-8,propranolol,propranolol,adrenergic receptor antagonist,
BRD-K93080877-001-02-1,NA,Ala-Ala-Phe-CMK,tripeptidyl peptidase inhibitor,TPP2
BRD-K93176058-001-01-0,AC-55649,AC55649,retinoid receptor agonist,"RARA, RARB"
BRD-K93188295-300-01-4,ARC-239,BRD-K93188295,adrenergic receptor antagonist,"ADRA2B, ADRA2A, ADRA2C"
BRD-K93201660-001-05-7,NA,ML-7,myosin light chain kinase inhibitor,MYLK
BRD-K93258693-001-02-5,GW-9662,GW-9662,PPAR receptor antagonist,"NCOA2, PPARG, RXRA"
BRD-K93480852-001-02-2,KN-93,KN-93,calcium/calmodulin dependent protein kinase inhibitor,CAMK2A
BRD-K93568044-001-03-1,hydrocortisone,hydrocortisone,glucocorticoid receptor agonist,
BRD-K93658967-001-01-7,NA,aloisine A,CDK inhibitor|CFTR channel activator|glycogen synthase kinase inhibitor|JNK inhibitor,"CDK2, CDK5, CDK1, CDK5R1, CFTR, PTK2B, ZAP70"
BRD-K93754473-001-02-9,tamoxifen,tamoxifen,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),"EBP, ESR1, ESR2, GPER1, PRKCA, PRKCB, PRKCD, PRKCE, PRKCG, PRKCI, PRKCQ, PRKCZ"
BRD-K94144010-001-05-5,cotinine,cotinine,nicotine metabolite,
BRD-K94270326-004-01-0,ecopipam,BRD-K94270326,dopamine receptor antagonist,"DRD1, DRD5, DRD2"
BRD-K94379058-001-03-5,BML-190,BML-190,cannabinoid receptor inverse agonist,CNR2
BRD-K94512704-001-01-3,NA,AMI-193,dopamine receptor antagonist,NA
BRD-K94832621-001-01-5,Y-134,BRD-K94832621,estrogen receptor antagonist|selective estrogen receptor modulator (SERM),"ESR1, ESR2"
BRD-K94841585-001-02-8,NA,emodic acid,laxative|free radical generator,NA
BRD-K95202259-001-01-9,NA,ML 3163,p38 MAPK inhibitor,"CYP2D6, CYP3A4, MAPK11, MAPK12, MAPK14"
BRD-K95309561-001-04-9,dienestrol,dienestrol,estrogen receptor agonist,ESR1
BRD-K95435023-001-01-0,PHA-665752,BRD-K95435023,c-Met inhibitor|hepatocyte growth factor receptor inhibitor,MET
BRD-K95603879-001-03-4,BHQ,BHQ,ATPase inhibitor,ATP2A1
BRD-K95609758-001-01-1,BMS-191011,BMS-191011,potassium channel activator,KCNMA1
BRD-K95655893-001-01-0,NA,MAZ51,VEGFR kinase inhibitor,NA
BRD-K95676198-001-02-6,NA,ZM 449829,JAK inhibitor,NA
BRD-K95785537-001-04-1,PP-2,PP2,src inhibitor,"ABL1, LCK, LYN, RIPK2, SRC"
BRD-K95851186-001-02-9,CGP-13501,BRD-K95851186,GABA receptor modulator,GABBR1
BRD-K96144918-001-02-3,NA,mead acid,KPL-1 tumor suppressor,NA
BRD-K96271548-001-02-2,coumaric-acid,BRD-K96271548,antioxidant,NA
BRD-K96799727-001-01-7,pifithrin-mu,pifithrin-mu,HSP inhibitor,"HSPA1A, TP53"
BRD-K96809896-001-01-9,SKF-86002,SKF-86002,p38 MAPK inhibitor,"ALOX5, MAPK14"
BRD-K97181089-001-02-7,amiloride,amiloride,sodium channel blocker,"AOC1, ASIC1, ASIC2, ASIC3, PKD2, PKD2L1, PLAU, SCNN1A, SCNN1B, SCNN1D, SCNN1G, SLC9A1, TRPC7, TRPV2"
BRD-K97330509-001-01-4,NA,SRC kinase inhibitor II,src inhibitor,NA
BRD-K97354755-001-01-5,NA,SU-6656,src inhibitor,"LYN, AURKB, AURKC, BRSK2, CALM1, CAMK2D"
BRD-K97365803-001-01-3,PI-828,BRD-K97365803,PI3K inhibitor,NA
BRD-K97399794-001-07-0,quercetin,quercetin,polar auxin transport inhibitor,"ATP5A1, ATP5B, ATP5C1, HCK, HIBCH, PIK3CG, PIM1, STK17B, UGT3A1"
BRD-K97440753-066-03-3,dihydroergocristine,dihydroergocristine,adrenergic receptor antagonist|prolactin inhibitor,"ADRA1A, ADRB1, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A, HTR3A, HTR4, HTR5A, HTR6, HTR7"
BRD-K97509413-001-01-8,NA,coumestrol,AGE inhibitor|estrogen receptor agonist|estrogen receptor ligand,"ESR1, ESR2"
BRD-K97521363-001-03-9,clorsulon,clorsulon,glycolysis inhibitor,
BRD-K97530723-001-04-3,melatonin,melatonin,melatonin receptor agonist|nitric oxide synthase inhibitor,"ASMT, CALM1, CALR, EPX, ESR1, HTR2B, MPO, MTNR1A, MTNR1B, NQO2, RORB"
BRD-K97564742-103-01-9,mepyramine,mepyramine,histamine receptor antagonist,HRH1
BRD-K97688263-001-02-9,benzamil,benzamil,sodium channel blocker,"ASIC1, PKD2L1, SCNN1A, SCNN1B, SCNN1D, SCNN1G, SLC8A1"
BRD-K97746869-001-04-9,chlorpropamide,chlorpropamide,ATP channel blocker,"ABCC8, KCNJ10, KCNJ11"
BRD-K97752965-001-01-6,nicorandil,BRD-K97752965,ATP channel activator|nitric oxide donor|potassium channel agonist,"ABCC9, KCNJ11, KCNJ8"
BRD-K97810537-001-03-7,beclomethasone-dipropionate,beclomethasone dipropionate,glucocorticoid receptor agonist,"GPR97, NR3C1"
BRD-K98039984-001-03-0,prednisolone,prednisolone,glucocorticoid receptor agonist,"NR3C1, NR3C2, SERPINA6"
BRD-K98143437-001-01-7,SB-239063,BRD-K98143437,p38 MAPK inhibitor|interleukin inhibitor|tumor necrosis factor production inhibitor,"MAPK11, MAPK14, PTGS2, TNF"
BRD-K98157055-001-04-2,SIB-1757,BRD-K98157055,glutamate receptor antagonist,GRM5
BRD-K98174813-001-05-7,chlorzoxazone,chlorzoxazone,bacterial 30S ribosomal subunit inhibitor,"KCNMA1, KCNN4"
BRD-K98297262-001-01-1,NA,N-ethylmaleimide,"1,3-beta-glucan synthase inhibitor",CLC
BRD-K98521173-001-03-8,desoxycortone,desoxycortone,mineralocorticoid receptor agonist,"NR3C1, NR3C2"
BRD-K18816859-001-01-4,,,Serotonin receptor agonist,
BRD-K19111024-001-04-3,,,PPAR receptor agonist,
BRD-K19360254-001-01-3,,,Dopamine receptor agonist,
BRD-K19533706-001-01-9,,,Angiogenesis inhibitor,
BRD-K20152659-001-02-0,,,Cholesterol inhibitor,
BRD-K20714604-001-01-5,,,Serotonin receptor partial agonist,
BRD-K20995441-001-01-7,,,Opioid receptor agonist,
BRD-K21520694-001-02-4,,,PABA antagonist,
BRD-K22031190-001-04-6,,,Prostanoid receptor antagonist,
BRD-K22193694-001-04-5,,,Topical sunscreen agent,
BRD-K23913458-001-02-5,,,Vitamin K antagonist,
BRD-K24201553-003-02-4,,,Serotonin receptor antagonist,
BRD-K24240364-003-02-1,,,Glutamate receptor antagonist,
BRD-K24526313-001-08-6,,,Potassium channel activator,
BRD-K25394294-001-04-0,,,Cyclooxygenase inhibitor,
BRD-K25875056-001-01-2,,,Protein tyrosine kinase activator,
BRD-K26160755-003-01-8,,,Imidazoline receptor agonist,
BRD-K26373640-001-02-8,,,IKK inhibitor,
BRD-K26548821-001-01-8,,,Dopamine receptor agonist,
BRD-K26573499-300-01-3,,,Adrenergic receptor agonist,
BRD-K26979635-001-01-1,,,Glutamate receptor antagonist,
BRD-K27141178-001-01-0,,,Serotonin receptor antagonist,
BRD-K27450477-001-03-9,,,Adenosine deaminase inhibitor,
BRD-K27499107-001-02-6,,,IP receptor activator,
BRD-K27710560-001-02-6,,,SIRT inhibitor,
BRD-K27871032-001-02-6,,,Ergoline alkaloid,
BRD-K28115081-001-01-9,,,Platelet activating factor receptor antagonist,
BRD-K28137194-003-01-3,,,GABA receptor agonist,
BRD-K28183345-003-05-6,,,Dihydrofolate reductase inhibitor,
BRD-K28453807-003-05-4,,,Cholinergic receptor antagonist,
BRD-K28667196-001-02-9,,,Increases arterial blood pressure,
BRD-K28863208-001-01-2,,,Cholinergic receptor agonist,
BRD-K29113274-001-03-6,,,Sterol demethylase inhibitor,
BRD-K29178788-001-02-0,,,Furoquinoline alkaloid,
BRD-K29359156-001-04-6,,,H+/K+-ATPase inhibitor,
BRD-K29555132-001-02-2,,,Cannabinoid receptor agonist,
BRD-K29582677-001-02-7,,,Calcium channel blocker,
BRD-K30197592-001-01-5,,,Serotonin receptor agonist,
BRD-K30480208-001-04-5,,,Electrolyte reabsorption inhibitor,
BRD-K30990140-003-01-6,,,Cyclooxygenase inhibitor,
BRD-K31054881-300-01-3,,,Adrenergic receptor antagonist,
BRD-K31611373-001-02-7,,,Prostanoid receptor agonist,
BRD-K31633810-003-01-0,,,Acetylcholine receptor antagonist,
BRD-K31699485-001-01-9,,,glutamate receptor modulator,
BRD-K31987754-001-01-2,,,Cannabinoid receptor agonist,
BRD-K32164935-001-06-8,,,ATP channel blocker,
BRD-K32247306-001-04-7,,,GABA receptor antagonist,
BRD-K32292990-001-01-0,,,EGFR inhibitor,
BRD-K32412559-001-01-7,,,Adrenergic receptor antagonist,
BRD-K32526544-001-01-2,,,Potassium channel activator,
BRD-K32696739-001-02-6,,,Monoamine oxidase inhibitor,
BRD-K32755366-003-03-4,,,Norepinephrine transporter inhibitor,
BRD-K33204703-001-04-6,,,PDGFR receptor inhibitor,
BRD-K33396764-001-02-0,,,Omega 3 fatty acid stimulant,
BRD-K33453211-003-03-2,,,Histamine receptor antagonist,
BRD-K33864865-001-01-7,,,CCK receptor antagonist,
BRD-K34014345-001-02-6,,,Anti-inflammatory,
BRD-K34154330-003-04-9,,,GABA receptor modulator,
BRD-K34170797-001-01-1,,,FXR agonist,
BRD-K34608650-001-01-6,,,Cannabinoid receptor agonist,
BRD-K35430135-003-01-5,,,Adrenergic receptor antagonist,
BRD-K35458079-001-04-2,,,Nootropic agent,
BRD-K35498378-001-03-8,,,Aldose reductase inhibitor,
BRD-K35629949-001-01-2,,,CCK receptor antagonist,
BRD-K35941380-001-01-7,,,Serotonin receptor antagonist,
BRD-K36009368-001-01-8,,,Opioid receptor agonist,
BRD-K36864847-303-01-7,,,Adrenergic receptor antagonist,
BRD-K36927236-001-06-0,,,Sulfonylurea,
BRD-K37289225-001-07-5,,,Dopamine receptor antagonist,
BRD-K37447567-001-01-8,,,Opioid receptor antagonist,
BRD-K37792168-001-01-0,,,Phosphodiesterase inhibitor,
BRD-K79437791-001-02-4,,,Inhibitor of methylation of endogenous isoprenylated proteins,
BRD-K80396088-001-03-9,,,Sulfonylurea,
BRD-K81209159-001-02-9,,,Acetylcholinesterase inhibitor,
BRD-K81376179-001-01-4,,,FLT3 inhibitor,
BRD-K81839095-001-02-0,,,Estrogen receptor agonist,
BRD-K81876028-300-01-2,,,Serotonin receptor agonist,
BRD-K82255054-001-04-3,,,GABA receptor agonist,
BRD-K82562631-236-02-0,,,Cyclooxygenase inhibitor,
BRD-K82577285-001-01-7,,,Dopamine receptor agonist,
BRD-K82731415-001-04-7,,,CDK inhibitor,
BRD-K82795137-001-02-3,,,Histamine receptor antagonist,
BRD-K82823076-001-01-8,,,GABA benzodiazepine site receptor inverse agonist,
BRD-K82846253-001-03-0,,,Insulin secretagogue,
BRD-K82865713-001-02-6,,,cAMP inhibitor,
BRD-K83023055-001-01-9,,,Melatonin receptor agonist,
BRD-K83302049-001-01-6,,,Histamine receptor antagonist,
BRD-K83597974-003-05-7,,,Monoamine oxidase inhibitor,
BRD-K83637872-001-01-7,,,Smoothened receptor antagonist,
BRD-K84175871-003-02-2,,,Adrenergic receptor agonist,
BRD-K85090592-003-08-7,,,Acetylcholine receptor agonist,
BRD-K85119730-001-06-5,,,ATP channel blocker,
BRD-K86434416-001-02-7,,,Monoamine oxidase inhibitor,
BRD-K86509404-001-02-0,,,CDK inhibitor,
BRD-K86600316-003-01-2,,,Adrenergic receptor antagonist,
BRD-K86873305-236-03-0,,,Bacterial cell wall synthesis inhibitor,
BRD-K87048468-003-01-9,,,Serotonin receptor antagonist,
BRD-K87990216-001-03-7,,,Glucocorticoid receptor agonist,
BRD-K88611939-001-01-8,,,Glutamate receptor agonist,
BRD-K88759641-003-01-0,,,Angiotensin receptor antagonist,
BRD-K88849294-001-02-1,,,Tyrosine phosphatase inhibitor,
BRD-K88871508-001-01-9,,,Dopamine receptor agonist,
BRD-K89375097-300-04-7,,,Acetylcholine receptor antagonist,
BRD-K89402695-001-01-5,,,Thromboxane receptor antagonist,
BRD-K90574421-001-01-9,,,Serotonin receptor agonist,
BRD-K90789829-003-03-3,,,Adrenergic inhibitor,
BRD-K90976994-001-02-1,,,Bile acid,
BRD-K91243525-001-01-5,,,Neurotensin receptor antagonist,
BRD-K91315211-334-02-3,,,Histamine receptor agonist,
BRD-K91336023-001-01-4,,,Dopamine receptor agonist,
BRD-K91904471-001-01-6,,,p38 MAPK inhibitor,
BRD-K92138166-001-01-0,,,other antibiotic,
BRD-K92492521-001-01-1,,,Leukotriene receptor antagonist,
BRD-K92678294-001-01-0,,,Isoflavone,
BRD-K92726801-003-02-7,,,Haemostatic agent,
BRD-K92731339-227-02-3,,,ACE inhibitor,
BRD-K92758126-001-06-3,,,NFkB pathway inhibitor,
BRD-K92778217-001-04-6,,,Cyclooxygenase inhibitor,
BRD-K92984783-003-02-4,,,Serotonin receptor antagonist,
BRD-K93280214-004-02-3,,,GABA receptor antagonist,
BRD-K93325701-001-03-0,,,SRC inhibitor,
BRD-K93332168-001-03-2,,,Monoamine oxidase inhibitor,
BRD-K93441486-067-03-7,,,Acetylcholine receptor antagonist,
BRD-K93460210-001-01-3,,,Serotonin receptor antagonist,
BRD-K93461745-001-01-5,,,Serotonin receptor agonist,
BRD-K94441233-001-03-1,,,HMGCR inhibitor,
BRD-K94689771-001-02-5,,,CYP1B1 inhibitor,
BRD-K94887716-001-01-5,,,Serotonin receptor agonist,
BRD-K94920105-001-01-3,,,PARP inhibitor,
BRD-K95237249-001-04-2,,,Uricosuric blocker,
BRD-K95739795-001-01-1,,,Vesicular monoamine transporter inhibitor,
BRD-K95763993-001-03-7,,,PDGFR receptor inhibitor,
BRD-K95899059-003-01-0,,,Serotonin receptor agonist,
BRD-K95992530-001-02-4,,,integrin antagonist,
BRD-K96119599-001-04-7,,,Melanin inhibitor,
BRD-K96263742-001-02-3,,,PPAR receptor agonist,
BRD-K96402602-001-01-8,,,PPMTase inhibitor,
BRD-K96527333-001-03-4,,,GABA receptor modulator,
BRD-K96670504-001-01-9,,,Glucokinase inhibitor,
BRD-K96720755-001-01-8,,,Vasopressin receptor antagonist,
BRD-K96862998-001-03-1,,,TGF beta receptor inhibitor,
BRD-K97061094-001-03-2,,,Histamine receptor antagonist,
BRD-K97118047-001-01-2,,,Casein kinase inhibitor,
BRD-K97158071-001-04-1,,,Dopamine receptor antagonist,
BRD-K97799481-002-03-6,,,Adenosine receptor antagonist,
BRD-A00100033-001-04-8,,,DNA inhibitor,
BRD-A00267231-001-01-1,,,Adenosine receptor agonist,
BRD-A00520476-001-03-3,,,Acetylcholine receptor antagonist,
BRD-A00993607-003-04-8,,,Adrenergic receptor antagonist,
BRD-A01295252-001-01-5,,,Dopamine receptor ligand,
BRD-A02176148-001-02-2,,,Mitochondrial complex I inhibitor,
BRD-A02759312-003-11-2,,,Adrenergic receptor antagonist,
BRD-A03216249-003-02-9,,,Potassium channel blocker,
BRD-A03359064-001-01-5,,,Adrenergic receptor antagonist,
BRD-A03623303-045-02-0,,,Adrenergic receptor antagonist,
BRD-A04668240-001-01-5,,,GABA receptor antagonist,
BRD-A04706586-236-01-7,,,Adenosine receptor agonist,
BRD-A06352418-001-03-6,,,Histamine receptor antagonist,
BRD-A06390036-001-02-0,,,Antiarrhythmic,
BRD-A06726973-001-02-0,,,cGMP analog,
BRD-A07440155-003-04-9,,,Adrenergic receptor antagonist,
BRD-A07780951-001-02-2,,,Adrenergic receptor agonist,
BRD-A08877921-001-02-2,,,Protein synthesis inhibitor,
BRD-A09056319-003-03-6,,,Adrenergic receptor antagonist,
BRD-A09062839-003-03-5,,,Local anesthetic,
BRD-A09472452-001-02-8,,,Sodium channel blocker,
BRD-A09539288-004-02-8,,,Acetylcholine receptor antagonist,
BRD-A09828896-004-04-5,,,Dopamine receptor agonist,
BRD-A09925278-003-03-1,,,Adrenergic receptor agonist,
BRD-A10355991-003-01-8,,,Glutamate receptor antagonist,
BRD-A10715913-001-02-0,,,Dopamine receptor antagonist,
BRD-A10903566-003-02-8,,,Adrenergic receptor antagonist,
BRD-A10969569-001-02-0,,,Plant alkaloid,
BRD-A10977446-001-04-8,,,Adrenergic receptor antagonist,
BRD-A11605036-001-03-2,,,GABA receptor antagonist,
BRD-A11813248-001-02-8,,,Potassium channel blocker,
BRD-A12016240-001-01-7,,,Serotonin receptor antagonist,
BRD-A13188892-066-03-3,,,Adrenergic receptor antagonist,
BRD-A13650332-236-03-9,,,Bacterial cell wall synthesis inhibitor,
BRD-A13946108-001-03-1,,,Cyclooxygenase inhibitor,
BRD-A14395271-001-01-5,,,Dopamine receptor antagonist,
BRD-A14574269-051-01-4,,,Acetylcholine receptor agonist,
BRD-A16332958-001-02-4,,,Adrenergic receptor agonist,
BRD-A16665823-008-03-3,,,Bacterial cell wall synthesis inhibitor,
BRD-A17428743-001-01-1,,,Serotonin receptor agonist,
BRD-A17453586-001-01-9,,,Serotonin receptor agonist,
BRD-A17535965-001-02-2,,,Acetylcholine receptor antagonist,
BRD-A17655518-001-02-0,,,Cyclooxygenase inhibitor,
BRD-A18202423-001-01-6,,,Glutamate receptor antagonist,
BRD-A18579359-001-03-1,,,Neural Wiskott-Aldrich syndrome protein inhibitor,
BRD-A18763547-019-01-0,,,Cytochrome C release inhibitor,
BRD-A19053259-003-03-3,,,Anthelmintic,
BRD-A19195498-050-04-2,,,Norepinephrine reuptake inhibitor,
BRD-A19736161-310-01-3,,,Serotonin receptor antagonist,
BRD-A20239487-001-02-5,,,Adrenergic receptor antagonist,
BRD-A21723284-066-01-7,,,Opioid receptor antagonist,
BRD-A21858158-001-04-5,,,Anthelmintic,
BRD-A22380646-001-01-5,,,ATPase inhibitor,
BRD-A22769835-300-03-2,,,Antihistamine,
BRD-A22844106-001-04-7,,,Cyclooxygenase inhibitor,
BRD-A23072235-050-04-5,,,Histamine receptor antagonist,
BRD-A24122750-001-01-1,,,GABA receptor antagonist,
BRD-A24191444-045-03-1,,,Adrenergic receptor antagonist,
BRD-A24228527-001-04-2,,,Bacterial DNA gyrase inhibitor,
BRD-A24514565-236-01-6,,,Vitamin K antagonist,
BRD-A26032986-050-01-3,,,Calmodulin antagonist,
BRD-A26334849-001-02-1,,,Antiarrhythmic,
BRD-A26384407-001-04-6,,,Carbonic anhydrase inhibitor,
BRD-A26845397-001-01-4,,,Adrenergic receptor antagonist,
BRD-A27143604-001-01-2,,,Estrogen receptor agonist,
BRD-A28318179-003-03-6,,,Nitric oxide synthase inhibitor,
BRD-A29426959-050-04-1,,,Histamine receptor antagonist,
BRD-A29644307-050-04-8,,,Dopamine uptake inhibitor,
BRD-A29734509-011-02-9,,,Sodium channel blocker,
BRD-A30590053-003-01-1,,,Acetylcholine release enhancer,
BRD-A30655177-001-04-1,,,BTK inhibitor,
BRD-A30815329-001-03-0,,,Calcium channel blocker,
BRD-A31007383-001-01-0,,,Adenosine receptor agonist,
BRD-A31159102-001-01-9,,,Selective serotonin reuptake inhibitor (SSRI),
BRD-A31195449-004-01-9,,,Serotonin receptor agonist,
BRD-A31521121-001-04-1,,,Muscle relaxant,
BRD-A31575449-300-01-4,,,Adrenergic receptor antagonist,
BRD-A32164164-048-01-4,,,Acetylcholine receptor antagonist,
BRD-A33168282-003-06-5,,,Adrenergic receptor antagonist,
BRD-A33447119-001-02-5,,,Anthelmintic,
BRD-A33711280-311-02-0,,,Acetylcholine receptor antagonist,
BRD-A34706053-003-01-9,,,Adrenergic receptor agonist,
BRD-A35511923-019-01-6,,,Somatostatin receptor agonist,
BRD-A36066264-001-02-3,,,Estrogen receptor agonist,
BRD-A36074203-003-03-5,,,Glutamate receptor antagonist,
BRD-A36217750-001-04-9,,,Uricosuric blocker,
BRD-A36267905-003-02-8,,,Adrenergic receptor agonist,
BRD-A36318220-001-01-3,,,RIPK inhibitor,
BRD-A36471396-003-02-2,,,Acetylcholine receptor antagonist,
BRD-A38747044-001-01-5,,,Imidazoline receptor ligand,
BRD-A38898897-003-01-0,,,Leukocyte elastase inhibitor,
BRD-A38913120-001-01-0,,,BCL inhibitor,
BRD-A39230911-001-03-7,,,Muscle relaxant,
BRD-A39255369-001-01-5,,,Chloride channel blocker,
BRD-A39268308-001-02-0,,,Acetylcholine receptor agonist,
BRD-A39969961-001-01-3,,,Cytochrome P450 inhibitor,
BRD-A40639672-234-04-0,,,Cyclooxygenase inhibitor,
BRD-A41145729-001-02-7,,,Retinoid receptor agonist,
BRD-A41250306-001-03-4,,,Thiazide diuretic,
BRD-A41301928-001-02-5,,,"Mitochondrial ADP, ATP translocase inhibitor",
BRD-A41304429-001-04-9,,,Adrenergic receptor antagonist,
BRD-A41451487-001-01-3,,,Benzodiazepine receptor antagonist,
BRD-A41519720-001-02-2,,,Niemann-Pick C1-like 1 protein antagonist,
BRD-A41833852-001-01-9,,,Opioid receptor antagonist,
BRD-A41941932-001-03-0,,,Antioxidant,
BRD-A42167015-003-03-7,,,Adrenergic receptor antagonist,
BRD-A42759514-001-03-1,,,Antiprotozoal,
BRD-A43150328-001-02-0,,,other antibiotic,
BRD-A43671941-003-03-6,,,Adrenergic receptor antagonist,
BRD-A43849199-001-02-3,,,Phytotoxin,
BRD-A43974499-066-01-1,,,Adrenergic receptor antagonist,
BRD-A44008656-036-04-3,,,Histamine receptor antagonist,
BRD-A44090213-001-04-1,,,Cyclooxygenase inhibitor,
BRD-A44133049-001-01-5,,,Serotonin receptor antagonist,
BRD-A44448661-001-02-2,,,Barbiturate antiepileptic,
BRD-A45499626-001-01-0,,,Glutamate receptor antagonist,
BRD-A47494775-003-03-0,,,Adrenergic receptor agonist,
BRD-A49046702-001-01-2,,,GABA uptake inhibitor,
BRD-A49734948-001-03-3,,,Plant alkaloid,
BRD-A49906757-004-03-1,,,Acetylcholine receptor antagonist,
BRD-A51714012-001-02-3,,,Adrenergic inhibitor,
BRD-A51820102-008-04-0,,,Bacterial cell wall synthesis inhibitor,
BRD-A51829654-001-01-4,,,Serotonin receptor antagonist,
BRD-A52588987-004-04-1,,,Dopamine receptor antagonist,
BRD-A52660433-066-01-3,,,Monoamine oxidase inhibitor,
BRD-A53576514-003-03-1,,,Acetylcholine receptor antagonist,
BRD-A54236247-003-02-7,,,Adrenergic receptor agonist,
BRD-A55369275-001-01-6,,,GABA receptor antagonist,
BRD-A55393291-001-02-4,,,Androgen receptor agonist,
BRD-A56675431-001-04-0,,,Thiazide diuretic,
BRD-A56987319-001-03-8,,,Adenylyl cyclase inhibitor,
BRD-A57382968-001-06-8,,,Cyclooxygenase inhibitor,
BRD-A58048407-001-06-3,,,Calcium channel blocker,
BRD-A59215453-003-03-3,,,Acetylcholine receptor antagonist,
BRD-A59303141-001-03-9,,,Thiazide diuretic,
BRD-A60197193-001-05-4,,,Dopamine receptor antagonist,
BRD-A61793559-001-04-0,,,Carbonic anhydrase inhibitor,
BRD-A61856038-001-01-2,,,Lipoxygenase inhibitor,
BRD-A62057054-001-01-5,,,Serotonin receptor antagonist,
BRD-A62525898-001-02-9,,,Glucocorticoid receptor agonist,
BRD-A63546914-003-01-2,,,Glutamate receptor antagonist,
BRD-A64092382-003-03-5,,,Sodium channel blocker,
BRD-A64125466-236-02-0,,,choleretic agent,
BRD-A64227845-004-02-8,,,Dopamine receptor agonist,
BRD-A64228451-001-03-5,,,BTK inhibitor,
BRD-A64977602-001-01-9,,,Adrenergic receptor antagonist,
BRD-A65013509-003-03-8,,,Acetylcholine receptor antagonist,
BRD-A65280694-003-03-8,,,Dopamine receptor antagonist,
BRD-A65440446-001-02-5,,,Adrenergic receptor agonist,
BRD-A65597028-003-02-4,,,Adrenergic receptor antagonist,
BRD-A65615053-003-01-4,,,Serotonin receptor antagonist,
BRD-A66435872-313-01-8,,,Histamine receptor agonist,
BRD-A66563878-003-01-8,,,Adrenergic receptor agonist,
BRD-A66927094-001-01-7,,,Dopamine receptor antagonist,
BRD-A67862938-034-04-0,,,Adrenergic receptor antagonist,
BRD-A68281735-001-02-0,,,Leukotriene receptor antagonist,
BRD-A68723818-050-04-4,,,Histamine receptor antagonist,
BRD-A69636825-003-02-1,,,Calcium channel blocker,
BRD-A70083328-001-02-9,,,Acetylcholinesterase inhibitor,
BRD-A70268693-103-01-9,,,Acetylcholine receptor agonist,
BRD-A70514680-003-03-9,,,Local anesthetic,
BRD-A71157293-003-03-5,,,Vitamin B,
BRD-A71203467-001-01-5,,,Dopamine receptor antagonist,
BRD-A72483914-001-01-1,,,Serotonin receptor antagonist,
BRD-A72988804-001-03-8,,,Cyclooxygenase inhibitor,
BRD-A73368467-003-02-8,,,Histamine receptor antagonist,
BRD-A73859745-236-01-8,,,Apoptosis stimulant,
BRD-A74667430-001-04-6,,,Cyclooxygenase inhibitor,
BRD-A74904029-001-04-0,,,Casein kinase inhibitor,
BRD-A74980173-001-02-8,,,Bacterial DNA gyrase inhibitor,
BRD-A75552914-001-04-4,,,Cyclooxygenase inhibitor,
BRD-A76093993-001-01-8,,,Potassium channel activator,
BRD-A77299732-001-01-6,,,Eukaryotic translation initiation factor inhibitor,
BRD-A78377521-001-02-2,,,Kinesin-like spindle protein inhibitor,
BRD-A78877355-003-03-6,,,Cyclooxygenase inhibitor,
BRD-A78942461-003-01-3,,,Adrenergic receptor antagonist,
BRD-A79672927-001-04-1,,,Acetylcholine receptor antagonist,
BRD-A80017228-001-04-2,,,Sodium/potassium/chloride transporter inhibitor,
BRD-A80213327-305-01-8,,,Ras GTPase inhibitor,
BRD-A80641450-001-01-4,,,Endothelin receptor antagonist,
BRD-A81866333-003-01-5,,,Adenosine receptor agonist,
BRD-A83326220-001-02-6,,,Nitric oxide production inhibitor,
BRD-A83431637-001-01-3,,,Cytochrome P450 inhibitor,
BRD-A83695761-001-01-1,,,Potassium channel blocker,
BRD-A83855350-003-01-4,,,Opioid receptor antagonist,
BRD-A83937277-001-03-0,,,Hydantoin antiepileptic,
BRD-A84174393-001-02-0,,,Cyclooxygenase inhibitor,
